행정구역_그룹,시간대,생활인구,총_주차면수,혼잡예상지수,총_관광객수,혼잡예상지수_v2,매출액_백만원,상권가중치,혼잡예상지수_v3
광탄면,00-06시,9331.702894736842,219,42.610515501081466,666.1347826086937,45.65222683719422,32.3307381,0.8027168815580169,36.64581316293175
광탄면,06-09시,11499.760175438596,219,52.51032043579268,1602.543478260869,59.82787056483775,32.3307381,0.8027168815580169,48.02484169006323
광탄면,12-15시,15522.214385964911,219,70.87769126011375,13375.09130434781,131.95116753567453,42.01614286,1.0431889017614275,137.64999354767843
광탄면,18-21시,10815.397192982457,219,49.38537531042218,1368.443478260868,55.63397566777774,19.06066667,0.4732437243602314,26.328429845985625
교하동,00-06시,8836.156929824561,198,44.62705520113415,0.0,44.62705520113415,96.05114286,2.384785451794643,106.42595200010116
교하동,06-09시,14351.473859649122,198,72.4821912103491,0.0,72.4821912103491,96.05114286,2.384785451794643,172.85447511263808
교하동,12-15시,30234.71350877193,198,152.7005732766259,0.0,152.7005732766259,137.8123333,3.4216443214084884,522.4870494277878
교하동,18-21시,17299.623333333333,198,87.37183501683502,0.0,87.37183501683502,65.10142857,1.6163570273294312,141.22407952012895
금촌,00-06시,80112.53429824562,1350,59.34261799870046,0.0,59.34261799870046,38.70318254,0.9609337683162726,57.024325535244294
금촌,06-09시,78191.03771929824,1350,57.91928719948018,0.0,57.91928719948018,38.70318254,0.9609337683162726,55.65659890678894
금촌,12-15시,75387.36403508772,1350,55.84249187784276,0.0,55.84249187784276,25.592555556666667,0.6354193437837958,35.483399544270796
금촌,18-21시,80530.40421052632,1350,59.65215126705653,0.0,59.65215126705653,32.278952382,0.8014311308296039,47.80709104637571
문산읍,00-06시,39444.47263157895,376,104.90551231802912,1958.3092720388968,110.11378165855812,80.40288095,1.996265896090522,219.81638701453758
문산읍,06-09시,39246.72719298246,376,104.3795935983576,6068.219225402293,120.51847451698072,80.40288095,1.996265896090522,240.58692052710327
문산읍,12-15시,38152.36122807017,376,101.46904581933556,22114.09600027044,160.2831309264378,69.83342857,1.7338444868419172,277.9060228905654
문산읍,18-21시,39688.02561403509,376,105.55325961179544,3319.811522176528,114.38254557503087,69.23280952,1.7189321440018281,196.61583430167468
법원읍,00-06시,8594.993245614034,366,23.483588102770582,0.0,23.483588102770582,10.80471429,0.26826255974014224,6.299767456332388
법원읍,06-09시,9575.033684210526,366,26.16129421915444,0.0,26.16129421915444,10.80471429,0.26826255974014224,7.0180957533453565
법원읍,12-15시,10776.018245614036,366,29.44267280222414,0.0,29.44267280222414,13.37504762,0.33207953629169934,9.77730913135082
법원읍,18-21시,9242.627192982456,366,25.253079762247147,0.0,25.253079762247147,7.811857143,0.19395504011106013,4.897962098214446
운정,00-06시,290056.929122807,3628,79.94953944950579,0.0,79.94953944950579,70.45788888166668,1.7493487673964594,139.85962828990756
운정,06-09시,272002.44649122807,3628,74.9731109402503,0.0,74.9731109402503,70.45788888166668,1.7493487673964594,131.15411921120486
운정,12-15시,231691.22631578948,3628,63.86196976730691,0.0,63.86196976730691,42.747079363333334,1.0613368038834843,67.77905888253721
운정,18-21시,263501.2014035088,3628,72.62987910791311,0.0,72.62987910791311,59.5753254,1.4791533454935912,107.43072866526477
월롱면,00-06시,11188.40596491228,224,49.94824091478697,0.0,49.94824091478696,15.41671429,0.3827706246749658,19.11871937636869
월롱면,06-09시,24178.15631578947,224,107.93819783834586,0.0,107.93819783834586,15.41671429,0.3827706246749658,41.31557141287369
월롱면,12-15시,35289.74228070176,224,157.5434923245614,0.0,157.5434923245614,14.76680952,0.36663460177717494,57.760895571000994
월롱면,18-21시,14917.25,224,66.59486607142857,0.0,66.59486607142857,8.158428571,0.20255981538902595,13.489443777285478
적성면,00-06시,6686.775614035088,403,16.592495320186323,0.0,16.592495320186323,11.41302381,0.2833658437853789,4.701746436909548
적성면,06-09시,7331.884736842105,403,18.193262374298023,0.0,18.193262374298023,11.41302381,0.2833658437853789,5.155349143901746
적성면,12-15시,8511.070701754386,403,21.11928213834836,0.0,21.119282138348357,16.06595238,0.3988900950496147,8.424272459545405
적성면,18-21시,7620.591403508773,403,18.9096560881111,0.0,18.9096560881111,7.92152381,0.19667787571947765,3.7191109899955785
조리읍,00-06시,24346.444912280705,217,112.19559867410462,113.4451731601728,112.71838749051096,39.25538095,0.9746439095541709,109.86028986239354
조리읍,06-09시,25423.210175438595,217,117.15765057805804,112.4126482213437,117.67568121502276,39.25538095,0.9746439095541709,114.69188599886009
조리읍,12-15시,24173.67736842105,217,111.39943487751636,290.60434782608627,112.73862542049372,38.15904762,0.9474238297315665,106.8112602545567
조리읍,18-21시,23366.58122807017,217,107.68009782520816,94.4304347826086,108.11526111913722,28.82871429,0.7157676253050295,77.38540371047802
탄현면,00-06시,12688.236754385964,1574,8.061141521210905,3853.873913043476,10.509600169904346,92.8527619,2.3053751277152887,24.228570833929847
탄현면,06-09시,15424.332631578947,1574,9.799448940012038,4802.07391304346,12.85032181996341,92.8527619,2.3053751277152887,29.624812306880706
탄현면,12-15시,21990.41543859649,1574,13.971039033415812,40997.3869565216,40.01766352929993,127.1178571,3.156118784731661,126.30049958589463
탄현면,18-21시,16108.369824561403,1574,10.23403419603647,9859.465217391293,16.497989226145293,59.36504762,1.4739325081808006,24.31692264003216
파주읍,00-06시,11629.456315789474,192,60.57008497807018,0.0,60.57008497807018,13.42035714,0.33320449411007,20.182224523321825
파주읍,06-09시,13168.620877192983,192,68.58656706871345,0.0,68.58656706871345,13.42035714,0.33320449411007,22.853352382877052
파주읍,12-15시,14764.103157894737,192,76.89637061403509,0.0,76.89637061403509,14.46904762,0.3592416835247212,27.624381636326863
파주읍,18-21시,12302.949298245614,192,64.07786092836257,0.0,64.07786092836257,8.749238095,0.217228604491,13.919544308236576
파평면,00-06시,3566.342807017544,268,13.30724927991621,0.0,13.30724927991621,4.946785714,0.12282022110957708,1.634399298919569
파평면,06-09시,3917.506666666666,268,14.617562189054729,0.0,14.617562189054723,4.946785714,0.12282022110957708,1.7953322201426947
파평면,12-15시,4569.071052631579,268,17.04877258444619,0.0,17.04877258444619,9.90952381,0.24603651255608416,4.194620550038918
파평면,18-21시,3960.5373684210526,268,14.77812450903378,0.0,14.77812450903378,3.218714286,0.07991516575627325,1.1809962697062786
