주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
229-2-000066,파평1-2,공영,노외,경기도 파주시 파평면 장마루12길 11,경기도 파주시 파평면 장파리 370-200,17,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.9445392620,126.8382833629,N,2025-05-22
229-2-000067,파평2,공영,노외,경기도 파주시 파평면 장마루15길 2,경기도 파주시 파평면 장파리 377-8,21,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.9456813374,126.8378292501,N,2025-05-22
229-2-000068,한태말,공영,노외,경기도 파주시 월롱면 공수물길 3,경기도 파주시 월롱면 영태리 642-1,18,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7816516470,126.7878864110,N,2025-05-22
229-2-000069,영태리,공영,노외,경기도 파주시 월롱면 통일로 761,경기도 파주시 월롱면 영태리 572-2,15,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7772480813,126.7885191362,N,2025-05-22
229-2-000042,문산2,공영,노외,경기도 파주시 문산읍 문향로39번길 51-1,경기도 파주시 문산읍 문산리 31-52,36,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8546002380,126.7829907296,N,2025-05-22
229-2-000044,적암리 희망,공영,노외,경기도 파주시 적성면 율곡로3064번길 54,경기도 파주시 적성면 적암리 66-4,232,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.9851642285,127.0039588031,N,2025-05-22
229-2-000063,법원3리,공영,노외,경기도 파주시 법원읍 사임당로857번길 53,경기도 파주시 법원읍 법원리 682-2,41,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8513061967,126.8755935310,N,2025-05-22
229-2-000065,파평1-1,공영,노외,경기도 파주시 파평면 장마루로 254,경기도 파주시 파평면 장파리 370-2,8,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.9445194447,126.8379648695,N,2025-05-22
229-2-000003,금촌통일시장,공영,노외,경기도 파주시 명동길 51,경기도 파주시 금촌동 323-4,132,3,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,400,10,150,,7000,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7633915587,126.7731887546,Y,2025-05-22
229-2-000004,문산고가다리,공영,노외,경기도 파주시 문산읍 문향로84번길 23,경기도 파주시 문산읍 선유리 957-31,40,1,미시행,,09:00,18:00,00:00,23:59,00:00,23:59,유료,30,600,10,250,,9000,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.8594414315,126.7876501779,Y,2025-05-22
229-2-000005,문산자유시장,공영,노외,경기도 파주시 문산읍 문산로 45,경기도 파주시 문산읍 문산리 8-2,123,3,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,400,10,150,,7000,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.8577000708,126.7843702993,Y,2025-05-22
229-2-000006,통일동산,공영,노외,,경기도 파주시 탄현면 성동리 646,1248,기타,미시행,,09:00,23:59,09:00,18:00,09:00,18:00,무료,0,,,,,,,,,경기도 파주시 도시관광공사,031-909-6312,37.7789723009,126.6846100837,Y,2025-05-22
229-2-000008,운정역 환승,공영,노외,경기도 파주시 소리천로 155,경기도 파주시 와동동 1472,384,1,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,600,10,250,,9000,90000,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7261964371,126.7662332265,Y,2025-05-22
229-2-000009,가람마을 공영,공영,노외,경기도 파주시 가람로21번길 16-16,경기도 파주시 와동동 1591,231,2,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,500,10,200,,8000,80000,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7345971672,126.7533942181,Y,2025-05-22
229-2-000010,야당역 환승,공영,노외,경기도 파주시 소리천로 14,경기도 파주시 야당동 1087,302,1,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,600,10,250,,9000,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7137730300,126.7613750122,Y,2025-05-22
229-2-000017,금촌로터리,공영,노외,경기도 파주시 한마음2길 18,경기도 파주시 금촌동 956-1,119,2,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,500,10,200,,8000,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7562440530,126.7731678705,Y,2025-05-22
229-2-000018,금촌역,공영,노외,,경기도 파주시 금촌동 329-204,10,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7652224104,126.7736542716,N,2025-05-22
229-2-000019,금촌1,공영,노외,경기도 파주시 번영로 46,경기도 파주시 금촌동 971,33,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7578337079,126.7678848010,Y,2025-05-22
229-2-000020,금촌4,공영,노외,경기도 파주시 쇠재2길 22,경기도 파주시 금릉동 432-3,16,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7528724502,126.7789220867,Y,2025-05-22
229-2-000021,금촌8,공영,노외,경기도 파주시 동산길 51,경기도 파주시 금촌동 936-21,15,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7596756283,126.7713178638,Y,2025-05-22
229-2-000023,법원2,공영,노외,경기도 파주시 법원읍 사임당로857번길 34,경기도 파주시 법원읍 법원리 438-1,49,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8502540128,126.8760343365,Y,2025-05-22
229-2-000024,법원3,공영,노외,,경기도 파주시 법원읍 법원리 674-1,40,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8547210034,126.8753828516,Y,2025-05-22
229-2-000025,가야1,공영,노외,,경기도 파주시 법원읍 가야리 380-2,33,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8494881151,126.8661410631,N,2025-05-22
229-2-000027,법원시가지 우회도로,공영,노외,,경기도 파주시 법원읍 대능리 224-5,28,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8478150154,126.8686865105,Y,2025-05-22
229-2-000028,광탄2,공영,노외,경기도 파주시 광탄면 혜음로1120번길 23,경기도 파주시 광탄면 신산리 229-4,118,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7823891299,126.8483510466,Y,2025-05-22
229-2-000029,적성마지,공영,노외,,경기도 파주시 적성면 마지리 36-98,52,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.9571274437,126.9171660599,Y,2025-05-22
229-2-000031,금파리,공영,노외,경기도 파주시 파평면 청송로208번길 71,경기도 파주시 파평면 금파리 528,28,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.9245577416,126.8431047068,N,2025-05-22
229-2-000032,동파리,공영,노외,경기도 파주시 진동면 높은음자리길 85,경기도 파주시 진동면 동파리 1749-2,24,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.9266525490,126.7864901892,N,2025-05-22
229-2-000033,앵골과선교 하부,공영,노외,,경기도 파주시 야당동 469-136,39,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7042399217,126.7623837564,Y,2025-05-22
229-2-000034,문발산업단지 노외,공영,노외,경기도 파주시 산업단지길 180,경기도 파주시 신촌동 700,144,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7307192968,126.7088345813,Y,2025-05-22
229-2-000035,심학산공원 공영,공영,노외,경기도 파주시 숲속노을로 67,경기도 파주시 동패동 2117,383,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7076263394,126.7180878447,Y,2025-05-22
229-2-000037,금촌 1-8,공영,노외,경기도 파주시 아동로 51,경기도 파주시 아동동 358-3,24,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7665495627,126.7796181268,N,2025-05-22
229-2-000038,금촌5,공영,노외,경기도 파주시 시청로 2,경기도 파주시 금촌동 948-1,20,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7578459898,126.7742420282,Y,2025-05-22
229-2-000039,금촌 2-16,공영,노외,경기도 파주시 동산8길 23,경기도 파주시 금촌동 938-18,13,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7587704828,126.7721554791,N,2025-05-22
229-2-000041,문산역 앞,공영,노외,,경기도 파주시 문산읍 문산리 17-134,17,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8549061756,126.7868502659,N,2025-05-22
229-2-000011,봉일천 공영,공영,노외,경기도 파주시 조리읍 송비말길 113,경기도 파주시 조리읍 봉일천리 188-4,193,2,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,500,10,200,,8000,80000,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7450303645,126.8058306744,Y,2025-05-22
229-2-000013,문산1,공영,노외,,경기도 파주시 문산읍 문산리 37-5,50,3,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,400,10,150,,,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.8560213431,126.7839886681,Y,2025-05-22
229-2-000014,산내마을2,공영,노외,경기도 파주시 산내로 120,경기도 파주시 목동동 953,305,2,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,500,10,200,,8000,80000,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7266640858,126.7362708629,Y,2025-05-22
229-2-000015,금촌2-8,공영,노외,경기도 파주시 쇠재로 2,경기도 파주시 금촌동 1025,128,2,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,500,10,200,,8000,80000,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7494221161,126.7675022880,Y,2025-05-22
229-2-000016,금촌2-17,공영,노외,경기도 파주시 문화로 46,경기도 파주시 금촌동 771-2,45,2,미시행,,09:00,18:00,00:00,23:59,00:00,23:59,유료,60,1000,20,500,,7000,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7586568155,126.7771176501,Y,2025-05-22
229-2-000046,교하1,공영,노외,경기도 파주시 순못길 14-14,경기도 파주시 다율동 999-12,10,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7274893893,126.7164492301,N,2025-05-22
229-2-000047,교하1-1,공영,노외,경기도 파주시 교하로 713,경기도 파주시 서패동 52-2,40,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7114363770,126.7015744610,N,2025-05-22
229-2-000048,교하2,공영,노외,경기도 파주시 순못길 114-17,경기도 파주시 다율동 991-12,10,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7281023129,126.7164541199,N,2025-05-22
229-2-000049,교하2-1,공영,노외,경기도 파주시 교하로 693,경기도 파주시 서패동 8-4,105,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7104115313,126.7032985707,N,2025-05-22
229-2-000050,심학산 배수지 입구,공영,노외,,경기도 파주시 동패동 643-3,96,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7067901033,126.7148537027,Y,2025-05-22
229-2-000051,운정1,공영,노외,경기도 파주시 미래로 394,경기도 파주시 야당동 1002,50,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7129506333,126.7467814634,N,2025-05-22
229-2-000052,운정2,공영,노외,경기도 파주시 미래로 596,경기도 파주시 와동동 1304-2,183,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7304233721,126.7518587267,Y,2025-05-22
229-2-000054,한울마을,공영,노외,경기도 파주시 동패로 93,경기도 파주시 동패동 1892,52,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7114234036,126.7391388443,N,2025-05-22
229-2-000055,한울마을2,공영,노외,,경기도 파주시 동패동 1890,18,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7115542374,126.7396814451,N,2025-05-22
229-2-000056,산내마을1,공영,노외,경기도 파주시 교하로159번길 42,경기도 파주시 목동동 1078,58,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7235714871,126.7402854702,Y,2025-05-22
229-2-000058,파주2,공영,노외,경기도 파주시 파주읍 술이홀로 432,경기도 파주시 파주읍 연풍리 405-3,15,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8293248233,126.8346887553,N,2025-05-22
229-2-000059,하천부지,공영,노외,경기도 파주시 법원읍 화합로 133,경기도 파주시 법원읍 법원리 431-14,18,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8467138629,126.8815312549,N,2025-05-22
229-2-000061,법원7,공영,노외,경기도 파주시 법원읍 사임당로880번길 45,경기도 파주시 법원읍 법원리 431-10,18,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8467237841,126.8782804716,N,2025-05-22
229-2-000062,천현초교,공영,노외,,경기도 파주시 법원읍 법원리 443-16,17,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8486958739,126.8772822725,N,2025-05-22
229-2-000001,금촌2 공영,공영,노외,경기도 파주시 금빛로 28,경기도 파주시 금촌동 987-1,303,1,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,600,10,250,,9000,90000,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7522227591,126.7671114290,Y,2025-05-22
229-2-000070,축현리,공영,노외,,경기도 파주시 탄현면 축현리 485-7,15,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8021086235,126.7169913880,Y,2025-05-22
229-2-000071,헤이리 GATE 1,공영,노외,경기도 파주시 탄현면 헤이리마을길 9,경기도 파주시 탄현면 법흥리 1652-286,189,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7882549739,126.6949906050,Y,2025-05-22
229-2-000072,이등병마을,공영,노외,경기도 파주시 광탄면 청계말길 13,경기도 파주시 광탄면 신산리 575-1,66,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7818381779,126.8448922666,Y,2025-05-22
229-2-000074,금촌2-15,공영,노외,경기도 파주시 후곡로 99,경기도 파주시 금촌동 1017,40,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7485332252,126.7738789523,N,2025-05-22
229-2-000075,금촌7,공영,노외,경기도 파주시 금정3길 16,경기도 파주시 금촌동 951-7,15,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7565280604,126.7753787725,N,2025-05-22
229-2-000030,적성구읍,공영,노외,경기도 파주시 적성면 칠중7길 4,경기도 파주시 적성면 구읍리 588-5,31,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.9560940761,126.9221856656,Y,2025-05-22
229-2-000092,GTX-A 운정중앙역2,공영,노외,,경기도 파주시 동패동 산115-1,482,1,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,600,10,250,,9000,90000,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,,,Y,2025-05-22
229-2-000089,금촌원앙길,공영,노외,경기도 파주시 원앙길 48,경기도 파주시 아동동 321-2,122,2,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,500,10,200,,8000,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7653057756,126.7766782682,Y,2025-05-22
229-2-000090,운정6동,공영,노외,,경기도 파주시 동패동 512-6,30,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7124344911,126.7216880045,Y,2025-05-22
229-2-000091,GTX-A 운정중앙역1,공영,노외,,경기도 파주시 동패동 2173-215,525,1,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,600,10,250,,9000,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7175116529,126.7305575552,Y,2025-05-22
229-2-000077,법원1,공영,노외,경기도 파주시 법원읍 사임당로905번길 49,경기도 파주시 법원읍 법원리 442-1,20,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8490093089,126.8792728936,N,2025-05-22
229-2-000079,탄현1,공영,노외,경기도 파주시 탄현면 평화로 885-15,경기도 파주시 탄현면 성동리 702,100,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7843741812,126.6902857224,N,2025-05-22
229-2-000080,운정4,공영,노외,,경기도 파주시 야당동 1006-9,31,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7101891648,126.7520252376,N,2025-05-22
229-2-000081,월롱역 환승주차장,공영,노외,경기도 파주시 월롱면 통일로 988,경기도 파주시 월롱면 위전리 167,191,2,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,500,10,200,,8000,80000,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7970167751,126.7920210563,Y,2025-05-22
229-2-000082,초롱초,공영,노외,,경기도 파주시 동패동 561-25,24,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7096003742,126.7188517066,N,2025-05-22
229-2-000084,선유리,공영,노외,,경기도 파주시 문산읍 선유리 1425,13,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8628207214,126.7867520566,N,2025-05-22
229-2-000085,파주 콘텐츠 월드 1,공영,노외,,경기도 파주시 적성면 답곡리 818-2,88,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.9484733382,126.8535677051,Y,2025-05-22
229-2-000086,파주 콘텐츠 월드 2,공영,노외,,경기도 파주시 파평면 장파리 1206-1,95,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.9467057436,126.8546055141,Y,2025-05-22
229-2-000087,파주 콘텐츠 월드 3,공영,노외,,경기도 파주시 파평면 장파리 1220-3,99,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.9453289589,126.8602502330,Y,2025-05-22
229-2-000007,광탄경매시장,공영,노외,경기도 파주시 광탄면 혜음로 1126,경기도 파주시 광탄면 신산리 227-6,35,3,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,400,10,150,,7000,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7818608653,126.8473563456,Y,2025-05-22
229-2-000022,문산4,공영,노외,경기도 파주시 문산읍 문향로49번길 71,경기도 파주시 문산읍 문산리 148-2,80,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8560306497,126.7810785087,Y,2025-05-22
229-2-000026,가야2,공영,노외,,경기도 파주시 법원읍 가야리 380-27,26,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8485746933,126.8670319895,N,2025-05-22
229-2-000036,파주역 공영,공영,노외,경기도 파주시 파주읍 주라위길 36,경기도 파주시 파주읍 봉암리 850-4,77,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8157794456,126.7931143657,Y,2025-05-22
229-2-000040,금촌 9,공영,노외,,경기도 파주시 금촌동 948-5,55,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7581816726,126.7752074412,Y,2025-05-22
229-2-000012,금촌역 선로하부 공영,공영,노외,경기도 파주시 새꽃로 229,경기도 파주시 아동동 308-2,56,2,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,500,10,200,,8000,80000,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7671833793,126.7771481951,Y,2025-05-22
229-2-000053,운정3,공영,노외,,경기도 파주시 와동동 1380,162,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7292172145,126.7598763741,Y,2025-05-22
229-2-000057,파주1,공영,노외,경기도 파주시 파주읍 술이홀로 433,경기도 파주시 파주읍 연풍리 406-26,40,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8293984639,126.8349608157,N,2025-05-22
229-2-000060,법원6,공영,노외,경기도 파주시 법원읍 술이홀로895번길 14,경기도 파주시 법원읍 법원리 679-15,34,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8510701968,126.8735836066,Y,2025-05-22
229-2-000002,금촌3 공영,공영,노외,경기도 파주시 금빛로 4,경기도 파주시 금촌동 990-5,50,1,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,600,10,250,,9000,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7513615766,126.7677669540,Y,2025-05-22
229-2-000073,금촌 1-12,공영,노외,경기도 파주시 금정7길 43,경기도 파주시 금촌동 951-2,10,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7566855376,126.7746052846,N,2025-05-22
229-2-000076,파주4,공영,노외,경기도 파주시 파주읍 향교말길 14,경기도 파주시 파주읍 파주리 429-1,60,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8327095532,126.8166465717,N,2025-05-22
229-2-000078,탄현,공영,노외,경기도 파주시 탄현면 방촌로 1033,경기도 파주시 탄현면 금승리 600,22,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8251871230,126.7351088874,N,2025-05-22
229-2-000083,회동길,공영,노외,,경기도 파주시 문발동 513-16,53,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7084507591,126.6878017613,N,2025-05-22
229-2-000088,운정호수공원,공영,노외,,경기도 파주시 와동동 1412,253,2,미시행,,09:00,22:00,00:00,23:59,00:00,23:59,유료,30,500,10,200,,8000,,현금+신용카드,경차 50프로 할인+장애인 차량 50프로 할인,경기도 파주시 도시관광공사,031-909-6305,37.7197754405,126.7499007521,Y,2025-05-22
229-2-000043,문산5,공영,노외,경기도 파주시 문산읍 독서울2길 9,경기도 파주시 문산읍 선유리 447-3,17,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8647082920,126.8047891050,N,2025-05-22
229-2-000045,조리 1-2,공영,노외,경기도 파주시 조리읍 순비골길 66,경기도 파주시 조리읍 봉일천리 144-10,24,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.7422696186,126.8084329202,N,2025-05-22
229-2-000064,법원행복주택,공영,노외,,경기도 파주시 법원읍 대능리 556,42,기타,미시행,,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,,,,,,,,,경기도 파주시청,031-940-4783,37.8469833451,126.8768489994,N,2025-05-22

